Date,Team,Pitcher,ERA
2025-05-28,ARI,Z. Gallen,5.25
2025-05-28,ATH,L. Severino,4.11
2025-05-28,ATL,A. Smith-Shawver,3.67
2025-05-28,BAL,C. Povich,4.86
2025-05-28,BOS,B. Bello,4.08
2025-05-28,CHC,M. Boyd,3.42
2025-05-28,CIN,H. Greene,2.54
2025-05-28,CLE,J. Junis,4.56
2025-05-28,COL,T. Gordon,4.38
2025-05-28,CWS,S. Smith,2.36
2025-05-28,DET,J. Jobe,4.06
2025-05-28,HOU,L. McCullers,6.57
2025-05-28,KC,N. Cameron,0.93
2025-05-28,LAA,Y. Kikuchi,3.17
2025-05-28,LAD,C. Kershaw,7.50
2025-05-28,MIA,S. Alcantara,8.04
2025-05-28,MIL,F. Peralta,2.55
2025-05-28,MIN,P. Lopez,2.31
2025-05-28,NYM,G. Canning,2.88
2025-05-28,NYY,C. Schmidt,4.58
2025-05-28,PHI,Z. Wheeler,2.42
2025-05-28,PIT,P. Skenes,2.36
2025-05-28,SD,K. Hart,6.00
2025-05-28,SEA,G. Kirby,12.27
2025-05-28,SF,L. Roupp,3.63
2025-05-28,STL,M. Mikolas,3.51
2025-05-28,TB,D. Rasmussen,2.60
2025-05-28,TEX,T. Mahle,1.80
2025-05-28,TOR,P. Schultz,2.53
2025-05-28,WSH,T. Williams,6.39
